fecha,hora,latitude,longitude,depth,mag
1931-06-18,14:35:00.000,-14.139,-71.36,15,4
1931-07-11,05:56:13.000,-8.5,-74.5,120,6.3
1932-01-20,02:30:50.000,-11.881,-77.734,40,6.7
1932-06-25,02:31:41.000,-6.5,-81.5,0,6.4
1932-09-05,06:23:50.000,-6,-81,50,6
1932-12-09,08:34:55.000,-15.379,-74.348,90,6.5
1933-07-23,04:13:11.000,-15.75,-75.25,80,6
1933-07-31,15:23:07.000,-15.5,-75.5,80,6
1933-08-06,02:54:52.000,-13.151,-76.526,60,6.5
1933-08-20,22:59:16.000,-13,-80,0,5.6
1933-08-22,09:49:58.000,-13,-80,0,5.6
1933-08-29,14:52:36.000,-10.9,-69.5,65,6.5
1933-10-01,02:40:42.000,-7,-75.25,120,6.3
1933-10-02,15:29:21.000,-2,-81,0,6.9
1933-10-03,10:21:00.000,-1.75,-80.75,0,6.3
1933-10-03,14:21:49.000,-1.75,-80.75,0,6
1933-12-29,08:17:01.000,-5,-81.5,0,5.2
1934-10-29,23:25:23.000,-5,-78,110,6.3
1934-12-04,17:24:38.000,-19.5,-69.5,11,6.9
1935-03-05,22:35:00.000,-9.82,-77.43,25,4.6
1935-03-09,02:54:37.000,-12,-78,150,5.8
1935-03-26,19:54:47.000,-15.5,-73,120,6
1935-09-19,09:55:47.000,-15.5,-70,250,6.5
1936-05-06,03:38:55.000,-8,-75,160,6
1936-07-04,08:52:35.000,-18,-70,140,6
1936-09-16,17:44:13.000,-16,-72.5,130,5.8
1937-03-28,12:21:42.000,-13.5,-75,120,5.5
1937-03-29,07:49:47.000,-15.5,-71,120,6.8
1937-04-08,00:00:00.000,-7.729,-77.981,20,4.4
1937-04-17,00:00:00.000,-7.73,-77.98,10,3.9
1937-06-21,15:13:04.000,-8.268,-79.233,60,6.8
1937-06-22,05:34:03.000,-9,-79,150,5.8
1937-06-24,14:57:18.000,-7.8,-80.3,0,5.4
1937-07-09,17:27:40.000,-16,-72,180,6
1937-10-02,16:22:24.000,-14.7,-69.9,0,4.7
1937-10-15,03:41:15.000,-13.5,-77,90,5.3
1937-11-03,00:00:00.000,-15.5,-68.5,20,4.5
1937-11-07,09:08:43.000,-10,-73.5,120,5.5
1937-12-24,06:20:40.000,-10.55,-75.63,25,6.2
1938-01-16,21:41:47.000,-6,-75,100,6
1938-09-09,17:27:12.000,-7.2,-80.3,0,5.8
1939-04-25,12:53:37.000,-12.87,-76.42,80,6.3
1939-06-24,04:22:24.000,-14.148,-71.635,20,6.3
1939-09-13,18:03:30.000,-18.5,-70.5,130,5.8
1939-09-20,06:53:12.000,-11.5,-75.5,60,6
1939-11-18,07:42:15.000,-15,-75.5,0,5.6
1939-11-26,06:26:18.000,-8.5,-77.5,130,5.5
1939-12-13,18:45:24.000,-17,-74,100,5.5
1940-01-30,11:56:55.000,-11.5,-77,50,5.6
1940-05-04,16:44:30.000,-6.5,-81,0,5.6
1940-05-05,02:03:42.000,-7,-80,0,6
1940-05-24,16:33:57.000,-11.22,-77.79,50,8
1940-08-04,16:07:05.000,-14,-74,120,5.5
1940-08-26,02:27:59.000,-11.5,-75,110,6
1940-10-05,04:46:36.000,-17.8,-70.4,0,4.7
1940-10-06,15:35:42.000,-17.8,-70.4,200,4.7
1940-10-12,02:58:54.000,-17.8,-70.4,200,4
1940-10-15,07:54:18.000,-17.8,-70.4,200,4.9
1940-10-23,02:23:15.000,-2,-76,140,6
1941-01-24,05:44:03.000,-3.25,-76.75,120,6.5
1941-05-11,05:08:00.000,-14.486,-74.48,110,6.2
1941-09-18,13:14:09.000,-13.67,-71.96,100,7
1941-10-15,00:07:06.000,-16,-73.5,100,5.6
1941-10-15,09:35:15.000,-15.5,-74,110,6
1942-01-08,15:12:31.000,-6,-78.5,110,6
1942-06-12,10:21:30.000,-2,-76.9,0,6.2
1942-08-24,22:50:27.000,-15.549,-74.742,70,8.1
1942-11-06,13:31:10.000,-6,-77,130,6.8
1943-01-06,09:51:03.000,-5,-80.7,0,0
1943-01-31,05:00:00.000,-14.2,-71.5,25,5
1943-02-16,07:28:35.000,-15,-72,190,7
1943-04-05,03:08:58.000,-6.5,-76,140,6.5
1943-07-05,21:07:54.000,-16,-74,0,6.8
1943-07-06,09:40:00.000,-17,-70,160,5.8
1944-02-01,00:00:00.000,-13.57,-71.96,30,3.7
1944-02-29,03:41:53.000,-14.5,-70.5,200,7
1944-06-08,02:38:04.000,-10,-71,600,6.3
1945-02-06,23:27:49.000,-5,-80.8,0,4.5
1945-02-08,09:40:00.000,-16.5,-71.7,15,3.8
1945-02-09,02:25:00.000,-17.7,-70,30,3.9
1945-02-09,16:10:00.000,-10.8,-78.3,60,4.2
1945-02-10,20:30:00.000,-10.8,-78.3,60,4.7
1945-02-17,13:45:00.000,-10.8,-78.3,60,4.7
1945-02-17,18:35:00.000,-10.8,-78.3,60,4.2
1945-02-27,03:37:00.000,-13,-76.8,40,4.5
1945-03-06,17:10:00.000,-12.7,-77.8,40,4.5
1945-03-14,02:00:00.000,-11.66,-76.32,30,3
1945-03-14,05:45:00.000,-11.5,-78.1,30,4.8
1945-03-15,21:20:00.000,-4.4,-81.6,30,4.5
1945-03-16,08:35:00.000,-13.5,-75.26,25,3.4
1945-03-17,14:15:00.000,-13.5,-75.26,25,3.4
1945-03-18,13:45:00.000,-15.6,-74.8,60,4.3
1945-03-21,23:45:00.000,-12,-77.8,40,4.8
1945-03-27,01:45:00.000,-15.2,-73.1,25,4
1945-03-28,02:15:00.000,-16.5,-71.9,25,3.6
1945-03-29,00:50:00.000,-5,-79.43,30,3.1
1945-03-29,15:30:00.000,-15.9,-73.2,20,3.9
1945-03-30,03:00:00.000,-16.5,-72,25,3.5
1945-04-04,10:10:00.000,-9.6,-75.9,30,3.9
1945-04-06,09:00:00.000,-5.85,-77,30,3.9
1945-04-07,17:56:00.000,-4.4,-81.6,30,4.3
1945-04-11,09:54:00.000,-13.5,-75.26,30,3.5
1945-04-14,06:47:00.000,-17,-71.6,25,4.2
1945-04-15,12:13:00.000,-7.7,-79.6,50,4.5
1945-04-30,03:50:00.000,-16.6,-71.8,30,3.4
1945-05-02,05:55:00.000,-18.2,-69.95,30,3.8
1945-05-02,05:58:00.000,-4.6,-81.6,30,4.9
1945-05-02,09:30:00.000,-5.2,-81.4,30,4.6
1945-05-02,09:45:00.000,-10.6,-75.7,25,4.2
1945-05-06,10:00:00.000,-12,-77.8,40,4.8
1945-05-07,09:30:00.000,-5.3,-80.55,80,4.7
1945-05-11,05:00:00.000,-13.5,-75.26,30,3
1945-05-14,02:30:00.000,-12,-77.8,40,4.3
1945-05-16,13:45:00.000,-4.4,-81.6,30,4.4
1945-05-24,15:30:00.000,-13.5,-75.26,25,3.4
1945-05-30,20:00:00.000,-12,-77.8,40,4.3
1945-05-31,09:55:00.000,-15.06,-74.68,20,3.4
1945-06-01,08:50:00.000,-8.2,-79.2,50,3.8
1945-06-04,10:20:00.000,-15.5,-73,110,5
1945-06-10,02:22:00.000,-13.6,-76.6,50,4.3
1945-06-14,19:05:40.000,-5,-80.8,0,4.5
1945-06-15,11:46:00.000,-11.6,-77.5,60,4
1945-06-15,15:46:00.000,-11.6,-77.5,60,4
1945-06-18,07:00:00.000,-15.6,-74.8,60,4.3
